SYSTEM,STANDARD_IDENTIFIER,STANDARD_DISPLAY,RANK
LOINC,2502-3,Iron saturation [Mass Fraction] in Serum or Plasma,191
LOINC,8101-8,CD3+CD8+ (T8 suppressor) cells/100 cells in Blood,719
LOINC,8124-0,CD3 cells/100 cells in Blood,756
LOINC,48495-6,Transferrin.carbohydrate deficient/Transferrin.total in Serum or Plasma,7797
LOINC,741-9,Microcytes [Presence] in Blood by Light microscopy,464
LOINC,20633-4,1-Methylhistidine [Moles/volume] in Serum or Plasma,7050
LOINC,26574-4,1-Methylhistidine/Creatinine [Molar ratio] in Urine,12274
LOINC,26584-3,1-Methylhistidine [Moles/volume] in Cerebral spinal fluid,15690
LOINC,9415-1,"Carbamazepine 10,11-Epoxide [Mass/volume] in Serum or Plasma",7247
LOINC,31019-3,10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma,2425
LOINC,5098-9,Cold agglutinin [Titer] in Serum or Plasma by Agglutination,4082
LOINC,50377-1,von Willebrand factor (vWf).collagen binding activity actual/normal in Platelet poor plasma by Immunoassay,9774
LOINC,41171-0,Collagen crosslinked C-telopeptide [Mass/volume] in Serum or Plasma,1873
LOINC,24471-5,Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood,2560
LOINC,13362-9,Collection duration of Urine,854
LOINC,49223-1,Colony count [#/volume] in Specimen by Visual count,7110
LOINC,5778-6,Color of Urine,69
LOINC,14660-5,Color of Peritoneal fluid,5020
LOINC,10335-8,Color of Cerebral spinal fluid,905
LOINC,11279-7,Urine sediment comments by Light microscopy Narrative,1200
LOINC,7604-2,Common Pigweed IgE Ab [Units/volume] in Serum,1625
LOINC,24323-8,Comprehensive metabolic 2000 panel - Serum or Plasma,87
LOINC,59284-0,Consent Document,-1
LOINC,11488-4,Consult note,9056
SNOMED CT,840546002,Exposure to severe acute respiratory syndrome coronavirus 2 (event),-1
LOINC,5630-9,Copper [Mass/volume] in Red Blood Cells,6052
LOINC,13829-7,Copper/Creatinine [Mass Ratio] in Urine,4134
LOINC,48306-5,Coproporphyrin 3/Creatinine [Mass Ratio] in Urine,12781
LOINC,29266-4,Coproporphyrin [Moles/mass] in Stool,9108
LOINC,14157-2,Coproporphyrin [Mass/volume] in Serum or Plasma,6772
LOINC,16650-4,Cilantro IgE Ab [Units/volume] in Serum,7653
LOINC,6087-1,Corn IgE Ab [Units/volume] in Serum,1513
LOINC,41458-1,SARS coronavirus RNA [Presence] in Specimen by NAA with probe detection,10869
LOINC,29264-9,Collection time of Blood,11803
LOINC,74751-9,Collection time of Urine,9487
LOINC,13358-7,Collection time of Semen,1897
LOINC,13363-7,Collection duration of Stool,5969
LOINC,30211-7,Collection duration of Specimen,1186
LOINC,31208-2,Specimen source identified,1
LOINC,18746-8,Colonoscopy study,16589
LOINC,26108-1,XR Clavicle - right Views,-1
LOINC,24664-5,XR Clavicle Views,-1
LOINC,26107-3,XR Clavicle - left Views,8609
LOINC,55752-0,Clinical information,1702
LOINC,3487-6,cloBAZam [Mass/volume] in Serum or Plasma,6749
LOINC,3491-8,clomiPRAMINE [Mass/volume] in Serum or Plasma,6044
LOINC,3494-2,clonazePAM [Mass/volume] in Serum or Plasma,6624
LOINC,80685-1,Clostridioides difficile toxin A+B tcdA+tcdB genes [Presence] in Stool by NAA with probe detection,10075
LOINC,54067-4,Clostridioides difficile toxin genes [Presence] in Stool by NAA with probe detection,1296
LOINC,6896-5,cloZAPine [Mass/volume] in Serum or Plasma,2327
LOINC,5625-9,Cobalt [Mass/volume] in Blood,5583
LOINC,5628-3,Cobalt [Mass/volume] in Urine,10571
LOINC,3396-9,Cocaine [Mass/volume] in Serum or Plasma,6293
LOINC,3395-1,Cocaine [Presence] in Serum or Plasma,811
LOINC,3397-7,Cocaine [Presence] in Urine,569
LOINC,19360-7,Cocaine [Presence] in Urine by Confirmatory method,650
LOINC,3391-0,Benzoylecgonine [Presence] in Serum or Plasma,10697
LOINC,6077-2,Cocklebur IgE Ab [Units/volume] in Serum,2333
LOINC,6078-0,Cockroach IgE Ab [Units/volume] in Serum,1604
LOINC,6081-4,Coconut IgE Ab [Units/volume] in Serum,3266
LOINC,3506-3,Codeine [Mass/volume] in Serum or Plasma,7409
LOINC,3507-1,Codeine [Presence] in Urine,3120
LOINC,16197-6,Codeine [Presence] in Urine by Confirmatory method,3971
LOINC,3508-9,Codeine [Mass/volume] in Urine,1904
LOINC,6082-2,Codfish IgE Ab [Units/volume] in Serum,1612
LOINC,27923-2,Coenzyme Q10 [Mass/volume] in Serum or Plasma,3528
LOINC,1919-0,Aspartate aminotransferase [Enzymatic activity/volume] in Body fluid,889
LOINC,3126-0,Vasopressin [Mass/volume] in Serum or Plasma,4092
SNOMED CT,60728008,Swollen abdomen (finding),-1
LOINC,1763-2,Aldosterone [Mass/volume] in Serum or Plasma,1005
LOINC,30894-0,Aldosterone/Renin [Ratio] in Plasma,2016
LOINC,80387-4,"HIV 1+2 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",-1
LOINC,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,26
LOINC,1777-2,Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma,2293
LOINC,15148-0,Alkaline phosphatase [Enzymatic activity/volume] in Body fluid,2183
LOINC,36550-2,XR Abdomen Single view,-1
LOINC,60474-4,Reticulocytes [#/volume] in Blood by Automated count,1079
LOINC,2742-5,Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma,1172
LOINC,12480-0,Angiotensin converting enzyme [Enzymatic activity/volume] in Cerebral spinal fluid,3510
LOINC,29524-6,Acetoacetate/Creatinine [Molar ratio] in Urine,3824
LOINC,42233-7,Acetylcholine receptor ganglionic neuronal Ab [Moles/volume] in Serum,2595
LOINC,29525-3,Aconitate/Creatinine [Molar ratio] in Urine,11616
LOINC,3184-9,Activated clotting time (ACT) of Blood by Coagulation assay,566
LOINC,36641-9,XR Abdomen 2 Views,-1
LOINC,37119-5,XR Abdomen AP and Oblique,-1
LOINC,1778-0,Alkaline phosphatase.intestinal [Enzymatic activity/volume] in Serum or Plasma,2899
LOINC,1779-8,Alkaline phosphatase.liver [Enzymatic activity/volume] in Serum or Plasma,3376
LOINC,15016-9,Alkaline phosphatase.placental/Alkaline phosphatase.total in Serum or Plasma,5724
LOINC,36588-2,Portable XR Abdomen AP,-1
LOINC,24793-2,Portable XR Abdomen AP and Lateral,-1
LOINC,2141-0,Corticotropin [Mass/volume] in Plasma,1068
LOINC,44706-0,Actin smooth muscle IgG Ab [Units/volume] in Serum,1908
LOINC,11034-6,Acetylcholine receptor binding Ab [Moles/volume] in Serum,1585
LOINC,35703-8,Adenosine deaminase [Enzymatic activity/volume] in Cerebral spinal fluid,10007
LOINC,24536-5,XR Acromioclavicular Joint Views,10964
LOINC,49243-9,Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma Narrative,6667
LOINC,35503-2,Arterial patency Wrist artery --pre arterial puncture,423
LOINC,7464-1,Lime IgE Ab [Units/volume] in Serum,8695
LOINC,6258-8,Sunflower Seed IgE Ab [Units/volume] in Serum,4095
LOINC,7445-0,Lactalbumin alpha IgE Ab [Units/volume] in Serum,2797
LOINC,6019-4,Almond IgE Ab [Units/volume] in Serum,1591
SNOMED CT,396552003,Abdominal circumference (observable entity),-1
LOINC,35704-6,Adenosine deaminase [Enzymatic activity/volume] in Pleural fluid,3855
LOINC,53622-7,von Willebrand factor (vWf) cleaving protease actual/normal in Platelet poor plasma by Chromogenic method,3826
LOINC,39528-5,Adenovirus DNA [Presence] in Specimen by NAA with probe detection,778
LOINC,29859-6,Adipate/Creatinine [Molar ratio] in Urine,3844
LOINC,29595-6,Alpha-1-Fetoprotein [Multiple of the median] in Amniotic fluid,8868
LOINC,543-9,Mycobacterium sp identified in Specimen by Organism specific culture,251
LOINC,26136-2,XR Acromioclavicular joint - bilateral Views,-1
LOINC,6829-6,Amoxicillin IgE Ab [Units/volume] in Serum,8186
LOINC,6021-0,Apple IgE Ab [Units/volume] in Serum,4427
LOINC,7091-2,Apricot IgE Ab [Units/volume] in Serum,9123
LOINC,6033-5,Avocado IgE Ab [Units/volume] in Serum,4691
LOINC,6038-4,American Beech IgE Ab [Units/volume] in Serum,5002
LOINC,42269-1,XR Chest and Abdomen Views,-1
LOINC,7152-2,Blueberry IgE Ab [Units/volume] in Serum,5543
LOINC,6050-9,Brazil Nut IgE Ab [Units/volume] in Serum,1922
LOINC,6052-5,Broccoli IgE Ab [Units/volume] in Serum,5911
LOINC,6054-1,Buckwheat IgE Ab [Units/volume] in Serum,7126
LOINC,7169-6,Cabbage IgE Ab [Units/volume] in Serum,3083
LOINC,6062-4,Casein IgE Ab [Units/volume] in Serum,2496
LOINC,6833-8,Cat dander IgE Ab [Units/volume] in Serum,1119
LOINC,7187-8,Catfish IgE Ab [Units/volume] in Serum,5971
LOINC,9825-1,Mycobacterium sp identified in Isolate,8064
LOINC,11545-1,Microscopic observation [Identifier] in Specimen by Acid fast stain,662
LOINC,37580-8,XR Acromioclavicular joint - bilateral Views WO and W weight,-1
LOINC,45270-6,Acute leukemia panel - Specimen by Flow cytometry (FC),19999
LOINC,6835-3,Cauliflower IgE Ab [Units/volume] in Serum,8962
LOINC,6065-7,Celery IgE Ab [Units/volume] in Serum,6726
LOINC,6067-3,Cheese cheddar type IgE Ab [Units/volume] in Serum,6225
LOINC,6719-9,Cherry IgE Ab [Units/volume] in Serum,7188
LOINC,7573-9,Chick Pea IgE Ab [Units/volume] in Serum,3713
LOINC,6071-5,Chicken meat IgE Ab [Units/volume] in Serum,5142
LOINC,6070-7,Chicken feather IgE Ab [Units/volume] in Serum,5518
LOINC,6837-9,Cinnamon IgE Ab [Units/volume] in Serum,5476
LOINC,6076-4,Clam IgE Ab [Units/volume] in Serum,2208
LOINC,24558-9,US Abdomen,3361
LOINC,48343-8,Hemoglobin.other/Hemoglobin.total in Blood,12991
LOINC,42248-5,Hemoglobin.other/Hemoglobin.total in Blood by HPLC,4951
SNOMED CT,225543007,Skin appearance abnormal (finding),-1
LOINC,1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,502
LOINC,20450-3,Alpha-1-Fetoprotein [Multiple of the median] in Serum or Plasma,1766
LOINC,14282-8,Acylcarnitine [Moles/volume] in Serum or Plasma,2766
LOINC,47549-1,Adenosine deaminase [Enzymatic activity/mass] in Red Blood Cells,5770
LOINC,5041-9,Adenovirus Ab [Titer] in Serum by Complement fixation,6622
LOINC,5833-9,Adenovirus Ag [Presence] in Specimen by Immunoassay,-1
LOINC,7335-3,Ginger IgE Ab [Units/volume] in Serum,8545
LOINC,6128-3,Goldenrod IgE Ab [Units/volume] in Serum,4759
LOINC,6129-1,Goose feather IgE Ab [Units/volume] in Serum,4574
LOINC,6841-1,Grape IgE Ab [Units/volume] in Serum,2993
LOINC,6831-2,Green Bean IgE Ab [Units/volume] in Serum,5047
LOINC,6852-8,Green Pepper IgE Ab [Units/volume] in Serum,6940
LOINC,7316-3,Flounder IgE Ab [Units/volume] in Serum,6900
LOINC,6842-9,Halibut IgE Ab [Units/volume] in Serum,4666
LOINC,6136-6,Hazelnut IgE Ab [Units/volume] in Serum,1628
LOINC,6844-5,Honey bee IgE Ab [Units/volume] in Serum,3885
LOINC,6143-2,Horse dander IgE Ab [Units/volume] in Serum,6589
LOINC,6152-3,Johnson grass IgE Ab [Units/volume] in Serum,1944
LOINC,708-8,Blasts [#/volume] in Blood by Manual count,1741
LOINC,8116-6,CD19 cells [#/volume] in Blood,997
LOINC,8122-4,CD3 cells [#/volume] in Blood,749
LOINC,42188-3,CD3+CD16+CD56+ cells [#/volume] in Blood,5737
LOINC,24467-3,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,621
LOINC,14135-8,CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood,699
LOINC,53962-7,Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma,914
LOINC,42332-7,Alpha-1-Fetoprotein L3/Alpha-1-fetoprotein.total in Serum or Plasma,4468
LOINC,20636-7,Alanine [Moles/volume] in Serum or Plasma,2843
LOINC,22698-5,Alanine/Creatinine [Molar ratio] in Urine,11870
LOINC,66746-9,Specimen type,166
LOINC,23811-3,Alpha-1-Fetoprotein [Multiple of the median] adjusted in Serum or Plasma,1615
LOINC,6194-5,Orange IgE Ab [Units/volume] in Serum,2257
LOINC,6195-2,Cocksfoot IgE Ab [Units/volume] in Serum,2834
LOINC,7558-0,Oyster IgE Ab [Units/volume] in Serum,3667
LOINC,6212-5,Penicillium notatum IgE Ab [Units/volume] in Serum,1366
LOINC,6198-6,Paper wasp IgE Ab [Units/volume] in Serum,3915
LOINC,6204-2,Pea IgE Ab [Units/volume] in Serum,3735
LOINC,6205-9,Peach IgE Ab [Units/volume] in Serum,5353
LOINC,6206-7,Peanut IgE Ab [Units/volume] in Serum,1019
LOINC,6207-5,Pear IgE Ab [Units/volume] in Serum,6362
LOINC,739-3,Metamyelocytes [#/volume] in Blood by Manual count,1216
LOINC,742-7,Monocytes [#/volume] in Blood by Automated count,32
LOINC,748-4,Myelocytes [#/volume] in Blood by Manual count,871
LOINC,751-8,Neutrophils [#/volume] in Blood by Automated count,30
LOINC,51585-8,Other cells [#/volume] in Blood by Manual count,760
LOINC,24103-4,Plasma cells [#/volume] in Blood by Manual count,6020
LOINC,781-5,Promyelocytes [#/volume] in Blood by Manual count,1725
LOINC,40665-2,Reticulocytes [#/volume] in Blood by Manual count,3420
LOINC,1751-7,Albumin [Mass/volume] in Serum or Plasma,39
LOINC,21723-2,SERPINA1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,6021
LOINC,26601-5,Alpha aminoadipate/Creatinine [Molar ratio] in Urine,9846
LOINC,26919-1,Alpha aminobutyrate/Creatinine [Molar ratio] in Urine,12624
LOINC,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,24
LOINC,8302-2,Body height,46
LOINC,42148-7,US Heart,4586
LOINC,42348-3,Advance directives,-1
SNOMED CT,310301000,Advance healthcare directive status,-1
LOINC,7258-7,Cow milk IgE Ab [Units/volume] in Serum,1205
LOINC,6015-2,Wattle IgE Ab [Units/volume] in Serum,5389
LOINC,7789-1,Acanthocytes [Presence] in Blood by Light microscopy,1190
LOINC,60279-7,IL28B gene associated variant rs12979860 [Presence] in Blood or Tissue by Molecular genetics method,6552
LOINC,3298-7,Acetaminophen [Mass/volume] in Serum or Plasma,369
LOINC,76625-3,Alanine aminotransferase [Enzymatic activity/volume] in Blood,14038
LOINC,75320-2,Advance directive,4229
LOINC,634-6,Bacteria identified in Specimen by Aerobe culture,480
SNOMED CT,4065008,Affect function (observable entity),-1
LOINC,6154-9,Kiwifruit IgE Ab [Units/volume] in Serum,5249
LOINC,6155-6,Lamb IgE Ab [Units/volume] in Serum,6603
LOINC,6156-4,Goosefoot IgE Ab [Units/volume] in Serum,2028
LOINC,6159-8,Lemon IgE Ab [Units/volume] in Serum,7282
LOINC,7458-3,Lentils IgE Ab [Units/volume] in Serum,4026
LOINC,6161-4,Lettuce IgE Ab [Units/volume] in Serum,2413
LOINC,6165-5,Lobster IgE Ab [Units/volume] in Serum,2823
LOINC,11183-1,Macadamia IgE Ab [Units/volume] in Serum,3184
LOINC,6166-3,Malt IgE Ab [Units/volume] in Serum,2750
LOINC,6167-1,Mango IgE Ab [Units/volume] in Serum,5489
LOINC,43626-1,Acetohexamide [Presence] in Serum or Plasma,7940
LOINC,5568-1,Acetone [Mass/volume] in Serum or Plasma,2772
LOINC,5567-3,Acetone [Presence] in Serum or Plasma,2084
LOINC,38476-8,Mullerian inhibiting substance [Mass/volume] in Serum or Plasma,1782
LOINC,42254-3,Nuclear Ab [Presence] in Serum by Immunofluorescence,700
LOINC,47383-5,Nuclear Ab [Presence] in Serum by Immunoassay,1015
LOINC,13068-2,Nuclear Ab pattern [Interpretation] in Serum by Immunofluorescence,1259
LOINC,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,88
LOINC,49090-4,Fetal Trisomy 21 risk [Likelihood] Based on maternal age,1778
LOINC,22657-1,Alanine [Moles/volume] in Cerebral spinal fluid,8673
LOINC,9318-7,Albumin/Creatinine [Mass Ratio] in Urine,243
LOINC,6208-3,Pecan or Hickory Nut IgE Ab [Units/volume] in Serum,1661
LOINC,6209-1,Pecan or Hickory Tree IgE Ab [Units/volume] in Serum,2649
LOINC,6218-2,Pineapple IgE Ab [Units/volume] in Serum,4541
LOINC,7613-3,Pistachio IgE Ab [Units/volume] in Serum,1724
LOINC,6853-6,Plum IgE Ab [Units/volume] in Serum,3928
LOINC,6219-0,Pork IgE Ab [Units/volume] in Serum,1953
LOINC,6220-8,Potato IgE Ab [Units/volume] in Serum,2290
LOINC,6854-4,Pumpkin IgE Ab [Units/volume] in Serum,7772
LOINC,11193-0,Pumpkin Seed IgE Ab [Units/volume] in Serum,7544
LOINC,30191-1,Acetylcarnitine (C2) [Moles/volume] in Serum or Plasma,2231
LOINC,5048-4,Nuclear Ab [Titer] in Serum by Immunofluorescence,642
LOINC,68376-3,Nuclear Ab [Titer] in Body fluid by Immunofluorescence,-1
LOINC,13980-8,Albumin/Protein.total in Serum or Plasma by Electrophoresis,1803
LOINC,13992-3,Albumin/Protein.total in Urine by Electrophoresis,1822
LOINC,1756-6,Albumin in CSF/Albumin in Serum or Plasma,2790
LOINC,6095-4,American house dust mite IgE Ab [Units/volume] in Serum,1107
LOINC,6098-8,Dog dander IgE Ab [Units/volume] in Serum,1115
LOINC,6106-9,Egg white IgE Ab [Units/volume] in Serum,1141
LOINC,6100-2,Duck feather IgE Ab [Units/volume] in Serum,5909
LOINC,6122-6,Garlic IgE Ab [Units/volume] in Serum,5052
LOINC,6124-2,Giant Ragweed IgE Ab [Units/volume] in Serum,3235
LOINC,1715-2,Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,7896
LOINC,21023-7,Neutrophil cytoplasmic Ab [Titer] in Serum,8589
LOINC,17351-8,Neutrophil cytoplasmic Ab [Presence] in Serum,3632
LOINC,890-4,Blood group antibody screen [Presence] in Serum or Plasma,157
LOINC,27811-9,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,1605
LOINC,13974-1,Albumin/Protein.total in Cerebral spinal fluid by Electrophoresis,8323
LOINC,1749-1,Albumin [Mass/volume] in Peritoneal fluid,3494
LOINC,1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,2005
LOINC,2861-3,Albumin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,7931
LOINC,1747-5,Albumin [Mass/volume] in Body fluid,1288
LOINC,6169-7,Meadow Fescue IgE Ab [Units/volume] in Serum,3433
LOINC,6178-8,Mountain Juniper IgE Ab [Units/volume] in Serum,1602
LOINC,6182-0,Mucor racemosus IgE Ab [Units/volume] in Serum,2297
LOINC,6183-8,Mugwort IgE Ab [Units/volume] in Serum,2039
LOINC,6848-6,Mushroom IgE Ab [Units/volume] in Serum,6763
LOINC,6188-7,Nutmeg IgE Ab [Units/volume] in Serum,9184
LOINC,6190-3,Oat IgE Ab [Units/volume] in Serum,1915
LOINC,6193-7,Onion IgE Ab [Units/volume] in Serum,5077
LOINC,13590-5,Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay,2793
LOINC,1874-7,Apolipoprotein B/Apolipoprotein A-I [Mass Ratio] in Serum or Plasma,4477
LOINC,14979-9,aPTT in Platelet poor plasma by Coagulation assay,93
LOINC,58779-0,Peanut recombinant (rAra h) 1 IgE Ab [Units/volume] in Serum,2833
LOINC,58778-2,Peanut recombinant (rAra h) 2 IgE Ab [Units/volume] in Serum,2827
LOINC,58777-4,Peanut recombinant (rAra h) 3 IgE Ab [Units/volume] in Serum,2835
LOINC,1748-3,Albumin [Mass/volume] in Pleural fluid,5106
LOINC,63477-4,Peanut recombinant (rAra h) 8 IgE Ab [Units/volume] in Serum,2828
LOINC,64965-7,Peanut recombinant (rAra h) 9 IgE Ab [Units/volume] in Serum,2836
LOINC,20637-5,Arginine [Moles/volume] in Serum or Plasma,2839
LOINC,22697-7,Arginine/Creatinine [Molar ratio] in Urine,8756
LOINC,47320-7,Baker's yeast IgA Ab [Units/volume] in Serum by Immunoassay,3243
LOINC,47321-5,Baker's yeast IgG Ab [Units/volume] in Serum by Immunoassay,3201
LOINC,5372-8,Striated muscle Ab [Titer] in Serum by Immunofluorescence,4840
LOINC,20638-3,Asparagine [Moles/volume] in Serum or Plasma,2850
LOINC,26577-7,Asparagine/Creatinine [Molar ratio] in Urine,12548
LOINC,20639-1,Aspartate [Moles/volume] in Serum or Plasma,1237
LOINC,22691-0,Aspartate/Creatinine [Molar ratio] in Urine,12550
LOINC,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,27
LOINC,68518-0,How often do you have a drink containing alcohol,2503
SNOMED CT,363905002,Details of alcohol drinking behavior (observable entity),-1
LOINC,5643-2,Ethanol [Mass/volume] in Serum or Plasma,281
LOINC,5669-7,Isopropanol [Mass/volume] in Serum or Plasma,3515
LOINC,5693-7,Methanol [Mass/volume] in Serum or Plasma,2559
LOINC,15284-3,Grey Alder IgE Ab [Units/volume] in Serum,2782
LOINC,16412-9,Aspartate aminotransferase [Enzymatic activity/volume] in Red Blood Cells,-1
LOINC,1761-6,Aldolase [Enzymatic activity/volume] in Serum or Plasma,984
LOINC,36733-4,XR Knee - left AP and Lateral and oblique,-1
LOINC,24854-2,XR Orbit - bilateral Views,-1
LOINC,26099-2,XR Ankle - right Views,5745
LOINC,37681-4,XR Elbow - right 2 Views,-1
LOINC,26129-7,XR Foot - right Views,6887
LOINC,37707-7,XR Radius and Ulna - right 2 Views,-1
LOINC,69738-3,"Differential panel, method unspecified - Blood",-1
LOINC,10535-3,Digoxin [Mass/volume] in Serum or Plasma,935
